EMIS Code,SchoolName,Year,Gender,LEVEL,District,Tehsil,UCName,BuildingOwnerShip,TotalLand_Allocated,Year of Estbalishment,Year of Construction,Covered_Area,UnCovered_Area,UnCovered_Area_Premis,Whole Building Needs Reconstruction,No of Class Room Need Reconstruction,No of Other Room Need Reconstruction,No of Class Room Need Repair,No of Other Room Need Repair,HT Office,Science Lab,Staff Room,Library,Hostel Availability,Hostel Capacity,Hostel Rooms,Clerk Room,Play Ground/Area,Play Area,No of Pakka Class Rooms,No. Of Pakka Other Rooms,No. of Kacha Class Rooms,No of Kacha Other Rooms,CCTVCameras,ExaminationHall,Ramp Access at Entrance,Ramp Access in Building,Ramp at Toilet,School Name,School Level,Union Council Name,Desks Two Seater Useable,Desks Two Seater Un-Useable,Desks Two Seater New Required,Desks Three Seater Useable,Desks Three Seater Un-Useable,Desks Three Seater New Required,Desk Benches Useable,Desk Benches Un-Useable,Desk Benches New Required,Student Chairs Useable,Student Chairs Un-Useable,Student Chairs New Required,Tablet Chairs Useable,Tablet Chairs Un-Useable,Tablet Chairs New Required,Jute Tats Useable,Jute Tats Un-Useable,Jute Tats New Required,Fans Useable,Fans Un-Useable,Fans New Required,total_teachers,avg_bps_teachers,qualified_teachers,total_non_teachers,Presentbalance,Fund Recieved from Govt in This Year,is_critical
60913,GGPS KOTA TRAP,2024-25,Girls,Primary,MOHMAND,AMBAR,AMBAR,Govt,40.0,2007.0,2007.0,15.0,25.0,25.0,No,0.0,0.0,1.0,1.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,2,6,0,0,No,No,No,No,No,GGPS KOTA TRAP,Primary,AMBAR,0,0,0,37,3,0,0,0,0,0,0,0,0,0,30,0,0,5,1,0,5,,,,2.0,0.0,0.0,1
60914,GPS DARYAB KORE,2024-25,Boys,Primary,MOHMAND,PANDIALI,PANDIALI,Govt,52.0,1990.0,1986.0,8.0,44.0,44.0,Yes,,,,,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,4,0,0,0,No,No,No,No,No,GPS DARYAB KORE,Primary,PANDIALI,0,0,112,0,0,0,0,0,0,0,0,0,40,0,84,0,0,0,0,7,15,3.0,14.333333333333334,0.0,1.0,0.0,0.0,1
60915,GPS EKKA GHUND,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,42.0,1965.0,1968.0,25.0,17.0,17.0,No,3.0,0.0,0.0,0.0,Yes,Not Available,No,Not Available,No,0,0,No,No,Not Available,7,1,0,0,No,No,No,No,No,GPS EKKA GHUND,Primary,EKKA GHUND,28,0,0,0,0,0,18,0,200,0,0,0,60,0,0,0,0,0,0,0,25,6.0,13.666666666666666,0.0,1.0,0.0,0.0,1
60916,GPS RUSTAM KORE,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,28.0,1993.0,1991.0,20.0,8.0,8.0,No,0.0,0.0,2.0,0.0,Yes,Not Available,No,Not Available,No,0,0,No,No,Not Available,6,1,0,0,No,No,No,No,No,GPS RUSTAM KORE,Primary,EKKA GHUND,2,0,0,36,9,0,4,0,0,0,0,0,64,1,50,4,2,0,16,7,12,5.0,14.2,0.0,1.0,0.0,0.0,1
60917,GPS ISLAM GUL (AQRAB DAG),2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,40.0,1977.0,1980.0,14.0,,,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,4,0,0,0,No,No,No,No,No,GPS ISLAM GUL (AQRAB DAG),Primary,EKKA GHUND,0,0,124,0,0,0,0,0,0,0,0,0,21,0,227,6,0,0,0,0,20,4.0,14.25,0.0,,0.0,0.0,1
60918,GPS DHAND,2024-25,Boys,Primary,MOHMAND,PANDIALI,PANDIALI,Donated,40.0,1977.0,1977.0,20.0,30.0,30.0,No,0.0,0.0,0.0,0.0,Yes,Not Available,No,Not Available,No,0,0,No,No,Not Available,6,2,0,0,No,Yes,No,Yes,Yes,GPS DHAND,Primary,PANDIALI,0,0,0,0,0,0,32,0,0,0,0,0,0,0,30,0,0,0,32,0,0,2.0,15.0,0.0,1.0,573.0,0.0,1
60919,GPS KONRA COLONY,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,44.0,1989.0,1988.0,18.0,35.0,35.0,No,0.0,0.0,0.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,6,0,0,0,No,No,Yes,Yes,Yes,GPS KONRA COLONY,Primary,EKKA GHUND,5,0,0,0,0,0,3,0,0,0,0,0,0,0,224,0,0,0,36,0,0,4.0,13.5,0.0,1.0,501.0,0.0,1
60920,GPS LATIF KORE,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,30.0,1979.0,1978.0,5.0,25.0,25.0,No,0.0,0.0,2.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,2,0,0,0,No,No,No,No,No,GPS LATIF KORE,Primary,EKKA GHUND,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,6,1.0,15.0,0.0,1.0,0.0,0.0,1
60921,GGPS KARIRAI,2024-25,Girls,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,10.0,1977.0,1977.0,4.0,6.0,6.0,No,0.0,0.0,2.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Available/Functional,2,0,0,0,No,No,No,No,No,GGPS KARIRAI,Primary,EKKA GHUND,0,0,43,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,5,2.0,15.0,0.0,1.0,0.0,0.0,1
60922,GPS AMAN TABAR QASIM KHEL,2024-25,Boys,Primary,MOHMAND,EKKA GHUND,EKKA GHUND,Govt,31.0,1992.0,1990.0,7.0,24.0,24.0,No,0.0,0.0,1.0,0.0,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,3,0,0,0,No,No,No,No,No,GPS AMAN TABAR QASIM KHEL,Primary,EKKA GHUND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,10,10,0,8,3.0,14.0,0.0,1.0,0.0,0.0,1
